OriginalUsername,MediaId,CreatedDate,PostUrl,NrLikes,NrComments,ViewCount,IsVideo,TaggedUsers,MentionedUsers,Caption,Location
highsatisfied,2183708310419330705_11610112874,11/23/2019 10:45:37 PM,https://www.instagram.com/p/B5OFyN3nNaR,167873,923,0,No,,"@highsatisfied,@highsatisfied","Number 1 or number 2?❤😍
Follow @highsatisfied 
Follow @highsatisfied 
by @ ? dm
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2182832331194912628_11610112874,11/22/2019 5:45:25 PM,https://www.instagram.com/p/B5K-nCpHE90,10659,217,205762,Yes,,"@highsatisfied,@highsatisfied","Comment “ice” in your language!❤️❄️
follow @highsatisfied 
follow @highsatisfied
——————————
by bencaflisch on tiktok
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2182130700916633394_11610112874,11/21/2019 6:31:54 PM,https://www.instagram.com/p/B5IfE-hnC8y,7120,32,150578,Yes,,"@highsatisfied,@highsatisfied,@jamesllewis","Can’t get enough of this😍 
follow @highsatisfied 
follow @highsatisfied
——————————
by @jamesllewis 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2181498563628800841_11610112874,11/20/2019 9:35:36 PM,https://www.instagram.com/p/B5GPWKzHptJ,12887,35,271175,Yes,,"@highsatisfied,@highsatisfied","Can’t stop watching this😍
follow @highsatisfied 
follow @highsatisfied
——————————
by @ unknown please dm
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2180649183614983520_11610112874,11/19/2019 5:28:28 PM,https://www.instagram.com/p/B5DOOEBHd1g,13094,26,157879,Yes,,"@highsatisfied,@highsatisfied","Yesterday I tried to post this video but insta didn’t show the end, but I still love this video❤️ hope insta will show the end today :)
follow @highsatisfied 
follow @highsatisfied
——————————
by @ randomactsof on tiktok
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2179189782173539807_11610112874,11/17/2019 5:08:23 PM,https://www.instagram.com/p/B4-CY-gnV3f,43036,129,666567,Yes,,"@highsatisfied,@highsatisfied,@/worldol","What's something you've tried, that you'll never, ever try again? 
follow @highsatisfied 
follow @highsatisfied
——————————
by @/worldol on tiktok
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #relaxtime #antistress #asmr #slime #slimeasmr #f4f #l4l #followforfollow #slimevideo #satisfyingvideo #satisfyingslime #instagood #slimeasmrvideo #trend #viral #likeback #followme #trending",
highsatisfied,2178489346684825070_11610112874,11/16/2019 5:58:37 PM,https://www.instagram.com/p/B47jITIHy3u,20864,260,320396,Yes,,"@highsatisfied,@highsatisfied","Lol this music😁 Who is your favorite artist?👇 follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @ 1792394480 Döuyin
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2177768467252191257_11610112874,11/15/2019 6:07:14 PM,https://www.instagram.com/p/B44_OH1nSAZ,54584,83,769561,Yes,,"@areyoustirrd,@areyoustirrd","Love this fudge of @areyoustirrd !🥰🍯
——————————
by @areyoustirrd 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #foodporn #tasty #food #yummy #chocolate #slimevideo #satisfyingvideo #satisfyingslime #handmade #instagood #fudge",
highsatisfied,2177156499086935651_11610112874,11/14/2019 9:52:01 PM,https://www.instagram.com/p/B420E0EgoZj,36353,211,450450,Yes,,"@highsatisfied,@highsatisfied,@powervisiongo","Comment your favorite Soda!😍🥤
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @powervisiongo 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #pepsi #cocacola #soda #slimevideo #satisfyingvideo #satisfyingslime #cola #mentos",
highsatisfied,2176424737777851916_11610112874,11/13/2019 9:35:36 PM,https://www.instagram.com/p/B40NsSPnx4M,26569,147,343295,Yes,,"@highsatisfied,@highsatisfied,@c4d4u","What’s the worst game ever?👇😱
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @c4d4u 
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
highsatisfied,2175640171622302006_11610112874,11/12/2019 7:36:44 PM,https://www.instagram.com/p/B4xbTWEngE2,115821,195,1414439,Yes,,"@highsatisfied,@highsatisfied,@unknown","Cutting square tables into circles🥰
follow @highsatisfied 🙌
follow @highsatisfied 🙌
——————————
by @unknown pls dm
#satisfying #satisfyingvideos #oddlysatisfying #satisfy #satisfaction #art #anxietyrelief #stressrelief #sleepaid #stressrelieving #relax #thwocking #relaxtime #antistress #asmr #slime #slimey #slimes #slimeasmr #asmrslime #butterslime #laptop #apple #slimevideo #satisfyingvideo #satisfyingslime #slimer #instagood #asmrvideo",
